id;otp;email;phone;type;expiry_time;status;created_by;created_at;updated_by;updated_at
1;52741;Dudley_OConnell81@gmail.com;19430;Email;2021-07-29;Pending;Cloned;2021-07-29;vertical Oregon;2021-07-29
2;16890;Genevieve.Bashirian@gmail.com;6485;Phone;2021-07-29;Failed;Tasty Rubber transmit;2021-07-28;Reduced;2021-07-28
3;79111;Kadin92@hotmail.com;65041;Phone;2021-07-28;Failed;engineer Dirham;2021-07-29;microchip Loan input;2021-07-29
4;48182;Randi_Hamill26@hotmail.com;48712;Email;2021-07-28;Pending;compress;2021-07-29;aggregate eyeballs secondary;2021-07-29
5;80515;Zoie_Watsica@yahoo.com;90864;Email;2021-07-29;Failed;Sausages Assimilated protocol;2021-07-28;panel;2021-07-28
6;58944;Edmond88@hotmail.com;74547;Phone;2021-07-28;Approved;collaborative;2021-07-28;Music withdrawal;2021-07-29
7;26557;Candice_Gleason@yahoo.com;15572;Email;2021-07-28;Pending;Visionary;2021-07-29;bypassing e-markets withdrawal;2021-07-29
8;83331;Raleigh_Pacocha@yahoo.com;55518;Phone;2021-07-29;Pending;Executive Belgium;2021-07-29;withdrawal;2021-07-29
9;82847;Lillie62@hotmail.com;3326;Phone;2021-07-29;Approved;dedicated;2021-07-29;Handcrafted Creative cross-platform;2021-07-28
10;80754;Oswald46@gmail.com;79372;Phone;2021-07-29;Pending;Buckinghamshire Response;2021-07-28;Intelligent Auto;2021-07-29
